Dato,Tid,Klasse,Gruppe,Spiller1,Spiller2,Spiller3,Spiller4,Bane,Sett1,Sett2,Sett3,Annet,Turnering,Runde
20230325,08:30,Klasse D,B,Oliver Refsnes,Tilde Bruun-Jansen,,,,4-3,4-1,,,Farmers cup 2023,Round 1
20230325,09:00,Klasse D,A,Andreas Olaussen,Arvid Dale Erga,,,,1-4,0-4,,,Farmers cup 2023,Round 3
20230325,09:00,Klasse D,B,Dimitri Alessandro Alban Cevallos,Lea Nese,,,,4-0,4-0,,,Farmers cup 2023,Round 1
20230325,10:00,Klasse D,A,Simon Hetland,David Mellemstrand,,,,4-2,2-4,4-2,,Farmers cup 2023,Round 3
20230325,10:00,Klasse D,C,Shayan Afsharpour-Faramarzi,Håkon Orstad,,,,1-4,2-4,,,Farmers cup 2023,Round 3
20230325,11:00,Klasse B,E,Liv Sandve [5],Inge Bjørkevoll [6],,,,4-1,4-0,,,Farmers cup 2023,Round 2
20230325,11:00,Klasse B,D,Laur Haldma,Emma Sandberg Van Der Hoek,,,,0-4,4-2,4-3,,Farmers cup 2023,Round 3
20230325,11:00,Klasse B,D,Petter Aase [4],Ola Sjöstrand,,,,4-2,1-4,4-3,,Farmers cup 2023,Round 3
20230325,11:45,Klasse B,F,Sofia Østerhus Thorvik [8],Sofie Bøe,,,,4-3,4-0,,,Farmers cup 2023,Round 3
20230325,11:45,Klasse B,E,Anh Tho Ngo,Andrew Benestad Hendicott,,,,2-4,2-4,,,Farmers cup 2023,Round 2
20230325,11:45,Klasse B,F,Allen Anoup [7],Trond Kittelsen,,,,4-2,4-2,,,Farmers cup 2023,Round 3
20230325,12:45,Klasse D,A,Simon Hetland,Arvid Dale Erga,,,,2-4,4-2,4-2,,Farmers cup 2023,Round 1
20230325,12:45,Klasse D,B,Dimitri Alessandro Alban Cevallos,Oliver Refsnes,,,,4-0,4-0,,,Farmers cup 2023,Round 2
20230325,12:45,Klasse D,C,Elias Reinertsen,Håkon Orstad,,,,0-4,0-4,,,Farmers cup 2023,Round 2
20230325,13:30,Klasse D,B,Tilde Bruun-Jansen,Lea Nese,,,,2-4,4-0,4-1,,Farmers cup 2023,Round 2
20230325,13:30,Klasse D,A,Andreas Olaussen,David Mellemstrand,,,,1-4,0-4,,,Farmers cup 2023,Round 1
20230325,13:30,Klasse B,D,Petter Aase [4],Emma Sandberg Van Der Hoek,,,,4-2,4-2,,,Farmers cup 2023,Round 1
20230325,14:30,Klasse D,C,Aksel Nesse,Shayan Afsharpour-Faramarzi,,,,2-4,2-4,,,Farmers cup 2023,Round 2
20230325,14:30,Klasse B,D,Laur Haldma,Ola Sjöstrand,,,,1-4,1-4,,,Farmers cup 2023,Round 1
20230325,14:30,Klasse B,A,Michal Beranek [1],Ingrid Sunde-Bergesen,,,,4-0,4-0,,,Farmers cup 2023,Round 3
20230325,15:30,Klasse B,B,Petter Olaussen,Anna Ingrid Deuschl,,,,4-2,4-2,,,Farmers cup 2023,Round 2
20230325,15:30,Klasse B,A,Erik Lindø,Kjartan Stokka,,,,4-2,4-3,,,Farmers cup 2023,Round 3
20230325,15:30,Klasse B,B,Olav Eltervåg [2],Lisa Astrid Anna Sjöstrand,,,,4-0,4-1,,,Farmers cup 2023,Round 2
20230325,16:15,Klasse D,C,Aksel Nesse,Elias Reinertsen,,,,4-1,4-1,,,Farmers cup 2023,Round 3
20230325,16:15,Klasse B,C,Frida Sandberg Molden,Iver Butler Wang,,,,4-2,1-4,4-3,,Farmers cup 2023,Round 2
20230325,16:15,Klasse B,C,Athanasios Kostas [3],Benjamin Lasne-Laverne,,,,1-4,4-0,2-4,,Farmers cup 2023,Round 2
20230325,17:15,Klasse A,C,William Malo Wirak [4],Bendik Aadnøy Thorvik,,,,4-2,3-4,4-1,,Farmers cup 2023,Round 2
20230325,17:15,Klasse A,C,Christoffer Salvesen [WC],Benjamin Herbert Kamps,,,,4-0,4-2,,,Farmers cup 2023,Round 2
20230325,17:15,Klasse A,A,David Benjamin Fylkesnes [1],Andreas Sommernes,,,,4-0,4-0,,,Farmers cup 2023,Round 1
20230325,18:15,Klasse A,A,Marius Mæhle Rykhus,Ole Morten Larsen,,,,,,,Marius Mæhle Rykhus Retired,Farmers cup 2023,Round 1
20230325,18:15,Klasse A,B,Henning Frøystein [2],Noah Tebogo Christensen Salomonsen,,,,,,,Noah Tebogo Christensen Salomonsen Retired,Farmers cup 2023,Round 3
20230325,18:15,Klasse A,B,Amir Jazavac,Kristian Sommernes,,,,,,,Amir Jazavac Retired,Farmers cup 2023,Round 3
20230325,18:15,Klasse A,C,William Malo Wirak [4],Christoffer Salvesen [WC],,,,4-1,4-2,,,Farmers cup 2023,Round 3
20230325,18:15,Klasse A,D,Andreas Enggård Rasmussen,Ole Storhaug [WC],,,,1-4,0-4,,,Farmers cup 2023,Round 2
20230325,19:00,Klasse A,D,Mathias Jæger-Pedersen [3],Husiar Johnsen,,,,,,,Mathias Jæger-Pedersen [3] Retired,Farmers cup 2023,Round 2
20230325,19:00,Klasse A,C,Bendik Aadnøy Thorvik,Benjamin Herbert Kamps,,,,4-2,3-4,1-4,,Farmers cup 2023,Round 3
20230325,19:00,Klasse A,D,Husiar Johnsen,Andreas Enggård Rasmussen,,,,3-4,1-4,,,Farmers cup 2023,Round 1
20230325,20:00,Klasse A,D,Mathias Jæger-Pedersen [3],Ole Storhaug [WC],,,,,,,Mathias Jæger-Pedersen [3] Retired,Farmers cup 2023,Round 1
